                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                0.63477,                0.82901,                 1.1112,                0.77491,                0.38333,                0.58187,                0.42059,                 1.7738,                 2.3828,                 1.5855,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                0.86869,                 1.2483,                  1.252,                0.77406,                0.38333,                0.58243,                0.42073,                 1.7519,                 2.4105,                 1.5654,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                0.81082,                 1.2619,                 1.2827,                0.77406,                0.38333,                0.58243,                0.42073,                 1.7519,                 2.4105,                 1.5654,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                0.64887,                0.97916,                 1.0998,                0.77455,                 0.3855,                0.50627,                0.36651,                 1.7209,                 2.3935,                 1.5384,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                0.83664,                 1.6259,                 1.2633,                0.77455,                 0.3855,                0.50627,                0.36651,                 1.7209,                 2.3935,                 1.5384,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                0.73595,                0.69854,                 1.1746,                 0.7736,                 0.3856,                0.50457,                0.38241,                 1.7312,                 2.3815,                 1.5369,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                0.77866,                 1.1711,                 1.1706,                 0.7736,                 0.3856,                0.50457,                0.38241,                 1.7312,                 2.3815,                 1.5369,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                0.90165,                 1.1668,                 1.1655,                0.76973,                0.38583,                0.50909,                0.38455,                 1.7841,                 2.4017,                 1.5936,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                0.97244,                 1.3281,                 1.4019,                0.76973,                0.38583,                0.50909,                0.38455,                 1.7841,                 2.4017,                 1.5936,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                 1.0188,                 1.5078,                 1.3992,                0.76973,                0.38583,                0.50909,                0.38455,                 1.7841,                 2.4017,                 1.5936,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                0.84499,                 1.4503,                  1.232,                0.76493,                0.38609,                0.50924,                0.39271,                 1.7929,                 2.4282,                 1.5978,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                 0.7187,                 1.0533,                 1.1382,                0.76493,                0.38609,                0.50924,                0.39271,                 1.7929,                 2.4282,                 1.5978,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                0.86821,                 1.4096,                 1.3109,                0.76493,                0.38609,                0.50924,                0.39271,                 1.7929,                 2.4282,                 1.5978,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                0.94158,                 1.1128,                 1.3714,                 0.7663,                0.38588,                0.48118,                0.36679,                 1.7998,                  2.477,                  1.605,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                0.79644,                0.78928,                 1.2912,                 0.7663,                0.38588,                0.48118,                0.36679,                 1.7998,                  2.477,                  1.605,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                0.61294,                0.90549,                 1.1369,                 0.7663,                0.38588,                0.48118,                0.36679,                 1.7998,                  2.477,                  1.605,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                0.76273,                 1.0357,                 1.2483,                0.76704,                 0.3859,                0.46476,                 0.3546,                 1.7913,                 2.4618,                  1.581,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                0.76182,                 1.0759,                 1.2303,                0.76704,                 0.3859,                0.46476,                 0.3546,                 1.7913,                 2.4618,                  1.581,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                0.62071,                0.74109,                 1.0542,                0.76704,                 0.3859,                0.46476,                 0.3546,                 1.7913,                 2.4618,                  1.581,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                0.89256,                 1.1095,                 1.3343,                0.76645,                0.38574,                0.45683,                0.34553,                 1.7878,                 2.4609,                 1.5643,             2.8494e-05,             2.8494e-05,             2.8494e-05
